;;0.0000 s;;;0.0000 s;;;0.0000 s;0.0000 s;0.0000 s;4.8341 s;24.0119 s;0.0010 s;12.0137 s
Brute X;Brute Y;time;Quad X;Quad Y;time;Breadth X;Breadth Y;time;Brute;Rand;Double;Round;Breadth;Round&Double
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.1025 s;0.0470 s;0.0000 s;0.0230 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.0765 s;0.0320 s;0.0000 s;0.0160 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.1025 s;0.0250 s;0.0010 s;0.0140 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.0955 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.0950 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.0890 s;0.4790 s;0.0000 s;0.2364 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.1020 s;0.0130 s;0.0000 s;0.0080 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.1044 s;0.0160 s;0.0000 s;0.0080 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.1043 s;1.6410 s;0.0000 s;0.8159 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.1020 s;1.6502 s;0.0000 s;0.8170 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.1040 s;0.1640 s;0.0000 s;0.0815 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.1025 s;0.6141 s;0.0000 s;0.3095 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.1040 s;1.6387 s;0.0000 s;0.8277 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.1041 s;1.6433 s;0.0000 s;0.8221 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.1026 s;0.0060 s;0.0000 s;0.0020 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.0910 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.1040 s;0.2793 s;0.0000 s;0.1421 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.1020 s;1.4403 s;0.0000 s;0.7230 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.1040 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.1025 s;1.2325 s;0.0000 s;0.5981 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.1050 s;0.0090 s;0.0000 s;0.0030 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.1040 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.1060 s;0.0620 s;0.0000 s;0.0310 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.0931 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.0983 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.1005 s;1.3312 s;0.0000 s;0.6760 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.1010 s;1.6412 s;0.0000 s;0.8210 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.1030 s;0.0200 s;0.0000 s;0.0110 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.1020 s;0.4460 s;0.0000 s;0.2240 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.1050 s;0.0890 s;0.0000 s;0.0460 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.0920 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.1010 s;0.0520 s;0.0000 s;0.0260 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.1001 s;1.6367 s;0.0000 s;0.8249 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.1013 s;0.1094 s;0.0000 s;0.0545 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.0810 s;0.1160 s;0.0000 s;0.0590 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.1030 s;0.0010 s;0.0000 s;0.0010 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.1026 s;0.0030 s;0.0000 s;0.0020 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.1008 s;1.6456 s;0.0000 s;0.8367 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.0965 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.1030 s;1.6570 s;0.0000 s;0.8261 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.1020 s;1.6377 s;0.0000 s;0.8030 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.0940 s;0.0030 s;0.0000 s;0.0010 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.0500 s;0.3115 s;0.0000 s;0.1571 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.1010 s;0.1320 s;0.0000 s;0.0665 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.1015 s;1.6330 s;0.0000 s;0.8231 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.1010 s;0.0285 s;0.0000 s;0.0150 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.0954 s;0.3746 s;0.0000 s;0.1915 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.0925 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0.0000 s;0.0000 s;0.1030 s;0.1510 s;0.0000 s;0.0700 s
