;;380.6771 s;;;142.4633 s;;;138.5619 s;;;109.1982 s;;;394.8132 s;;;93.6671 s;133.4111 s;105.2371 s;177.1936 s;390.8702 s;89.6806 s;;;
189;492;0.8740 s;189;492;0.0140 s;189;492;0.0070 s;189;492;0.0050 s;189;492;0.0060 s;189;492;0.0050 s;189;492;0.0050 s;0.0020 s;0.2470 s;0.3315 s;0.9968 s;0.1840 s
550;605;1.1113 s;550;605;0.0190 s;550;605;0.0040 s;550;605;0.0030 s;550;605;0.0030 s;550;605;0.0040 s;550;605;0.0030 s;0.0360 s;0.3093 s;0.5091 s;1.8830 s;0.2600 s
270;295;0.5251 s;270;295;0.0200 s;270;295;0.0110 s;270;295;0.0080 s;270;295;0.0080 s;270;295;0.0080 s;270;295;0.0081 s;0.0070 s;0.1430 s;0.0810 s;0.3025 s;0.0415 s
0;0;1.3630 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.4540 s;0.4139 s;1.5872 s;3.5143 s;0.7928 s
487;284;0.5283 s;487;284;0.0160 s;487;284;0.0100 s;487;284;0.0081 s;487;284;0.0080 s;487;284;0.0080 s;487;284;0.0080 s;0.0010 s;0.1425 s;0.0970 s;0.3727 s;0.0460 s
391;353;0.6439 s;391;353;0.0230 s;391;353;0.0160 s;391;353;0.0125 s;391;353;0.0120 s;391;353;0.0120 s;391;353;0.0126 s;0.0060 s;0.1719 s;0.0000 s;0.0000 s;0.0000 s
595;100;0.1950 s;595;100;0.0200 s;595;100;0.0020 s;595;100;0.0010 s;595;100;0.0020 s;595;100;0.0020 s;595;100;0.0010 s;0.1700 s;0.0480 s;0.7921 s;2.6704 s;0.3977 s
414;374;0.6889 s;414;374;0.0190 s;414;374;0.0160 s;414;374;0.0120 s;414;374;0.0120 s;414;374;0.0120 s;414;374;0.0120 s;0.0020 s;0.1800 s;0.0020 s;0.0020 s;0.0000 s
414;281;0.5179 s;414;281;0.0230 s;414;281;0.0120 s;414;281;0.0100 s;414;281;0.0090 s;414;281;0.0100 s;414;281;0.0090 s;0.0020 s;0.1360 s;0.0610 s;0.1221 s;0.0310 s
314;380;0.6951 s;314;380;0.0207 s;314;380;0.0140 s;314;380;0.0110 s;314;380;0.0110 s;314;380;0.0110 s;314;380;0.0110 s;0.0020 s;0.1832 s;0.0180 s;0.0170 s;0.0090 s
0;0;1.3590 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.4622 s;0.3937 s;1.5619 s;3.5189 s;0.8078 s
352;408;0.7387 s;352;408;0.0260 s;352;408;0.0160 s;352;408;0.0130 s;352;408;0.0120 s;352;408;0.0120 s;352;408;0.0110 s;0.0050 s;0.1982 s;0.0010 s;0.0040 s;0.0010 s
358;368;0.6681 s;358;368;0.0161 s;358;368;0.0170 s;358;369;0.0130 s;358;368;0.0120 s;358;368;0.0130 s;358;368;0.0120 s;0.0040 s;0.1771 s;0.0000 s;0.0000 s;0.0000 s
404;292;0.5353 s;404;292;0.0250 s;404;292;0.0140 s;404;292;0.0110 s;404;292;0.0100 s;404;292;0.0100 s;404;292;0.0090 s;0.0010 s;0.1490 s;0.0460 s;0.0756 s;0.0229 s
377;310;0.5640 s;377;310;0.0260 s;377;310;0.0140 s;377;310;0.0100 s;377;310;0.0100 s;377;310;0.0105 s;377;310;0.0100 s;0.0020 s;0.1483 s;0.0220 s;0.0220 s;0.0115 s
451;376;0.6931 s;451;376;0.0140 s;452;376;0.0140 s;452;376;0.0110 s;452;376;0.0100 s;452;376;0.0110 s;452;376;0.0100 s;0.0010 s;0.1815 s;0.0300 s;0.0305 s;0.0150 s
381;378;0.7000 s;381;378;0.0220 s;381;378;0.0180 s;381;378;0.0130 s;381;378;0.0130 s;381;378;0.0140 s;381;378;0.0120 s;0.0020 s;0.1815 s;0.0000 s;0.0000 s;0.0000 s
427;254;0.4819 s;427;254;0.0240 s;427;254;0.0110 s;427;254;0.0090 s;427;254;0.0080 s;427;254;0.0080 s;427;254;0.0081 s;0.0040 s;0.1222 s;0.1160 s;0.2448 s;0.0592 s
393;396;0.7237 s;393;396;0.0220 s;393;396;0.0160 s;393;396;0.0130 s;393;396;0.0120 s;393;396;0.0120 s;393;396;0.0120 s;0.0030 s;0.1915 s;0.0000 s;0.0000 s;0.0000 s
385;389;0.7096 s;385;389;0.0210 s;385;389;0.0160 s;385;389;0.0130 s;385;389;0.0130 s;385;389;0.0130 s;385;389;0.0130 s;0.0070 s;0.1880 s;0.0000 s;0.0000 s;0.0000 s
431;260;0.4777 s;431;260;0.0201 s;431;260;0.0106 s;431;260;0.0080 s;431;260;0.0090 s;431;260;0.0100 s;431;260;0.0300 s;0.0050 s;0.1255 s;0.1040 s;0.2511 s;0.0540 s
0;0;1.3658 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.4760 s;0.3975 s;1.5666 s;3.5181 s;0.8310 s
133;344;0.5962 s;133;344;0.0150 s;133;344;0.0050 s;133;344;0.0046 s;133;344;0.0040 s;133;344;0.0040 s;133;344;0.0040 s;0.0030 s;0.1676 s;0.5992 s;0.7775 s;0.3020 s
477;471;0.8795 s;477;471;0.0190 s;477;471;0.0110 s;477;471;0.0080 s;477;471;0.0080 s;477;471;0.0080 s;477;471;0.0090 s;0.0030 s;0.2345 s;0.0770 s;0.3368 s;0.0395 s
0;0;1.3625 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.4498 s;0.3970 s;1.5918 s;3.4831 s;0.8095 s
387;330;0.6021 s;387;330;0.0200 s;387;330;0.0150 s;387;330;0.0120 s;387;330;0.0120 s;387;330;0.0110 s;387;330;0.0110 s;0.0030 s;0.1570 s;0.0050 s;0.0060 s;0.0030 s
0;0;1.3588 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.4840 s;0.4015 s;1.5658 s;3.7342 s;0.8910 s
400;254;0.5320 s;400;254;0.0250 s;400;254;0.0140 s;400;254;0.0090 s;400;254;0.0090 s;400;254;0.0090 s;400;254;0.0100 s;0.0080 s;0.1440 s;0.1308 s;0.1835 s;0.0640 s
219;295;0.5765 s;219;295;0.0220 s;219;295;0.0160 s;219;295;0.0070 s;219;295;0.0080 s;219;295;0.0080 s;219;295;0.0070 s;0.0030 s;0.1550 s;0.2380 s;0.6213 s;0.1110 s
379;381;0.7436 s;379;381;0.0190 s;379;381;0.0190 s;379;381;0.0150 s;379;381;0.0140 s;379;381;0.0150 s;379;381;0.0140 s;0.0050 s;0.2050 s;0.0000 s;0.0000 s;0.0000 s
343;421;0.7776 s;343;421;0.0265 s;343;421;0.0140 s;343;421;0.0116 s;343;421;0.0109 s;343;421;0.0110 s;343;421;0.0110 s;0.0080 s;0.2063 s;0.0061 s;0.0216 s;0.0030 s
195;285;0.4985 s;195;285;0.0245 s;195;285;0.0070 s;195;285;0.0060 s;195;285;0.0050 s;195;285;0.0060 s;195;285;0.0060 s;0.0040 s;0.1367 s;0.3064 s;0.7650 s;0.1550 s
446;445;0.8396 s;446;445;0.0135 s;446;445;0.0130 s;446;445;0.0100 s;446;445;0.0090 s;446;445;0.0100 s;446;445;0.0100 s;0.0010 s;0.2200 s;0.0320 s;0.1341 s;0.0170 s
360;353;0.6378 s;360;353;0.0130 s;360;353;0.0166 s;360;353;0.0120 s;360;353;0.0130 s;360;353;0.0110 s;360;353;0.0120 s;0.0060 s;0.1701 s;0.0000 s;0.0000 s;0.0010 s
364;465;0.8537 s;364;465;0.0190 s;364;465;0.0130 s;364;465;0.0100 s;364;465;0.0100 s;364;465;0.0110 s;364;465;0.0110 s;0.0070 s;0.2340 s;0.0495 s;0.0610 s;0.0250 s
375;347;0.6319 s;375;347;0.0270 s;375;347;0.0150 s;375;347;0.0130 s;375;347;0.0118 s;375;347;0.0120 s;375;347;0.0120 s;0.0090 s;0.1669 s;0.0000 s;0.0000 s;0.0000 s
409;387;0.7062 s;409;387;0.0150 s;409;387;0.0160 s;409;387;0.0120 s;409;387;0.0120 s;409;387;0.0110 s;409;387;0.0110 s;0.0070 s;0.1880 s;0.0000 s;0.0010 s;0.0010 s
339;352;0.6477 s;339;352;0.0220 s;339;352;0.0150 s;339;352;0.0110 s;339;352;0.0110 s;339;352;0.0110 s;339;352;0.0121 s;0.0010 s;0.1704 s;0.0030 s;0.0090 s;0.0010 s
449;268;0.4933 s;449;268;0.0160 s;449;268;0.0110 s;449;268;0.0080 s;449;268;0.0090 s;449;268;0.0090 s;449;268;0.0080 s;0.0040 s;0.1305 s;0.0880 s;0.2881 s;0.0430 s
264;349;0.6169 s;264;349;0.0250 s;264;349;0.0109 s;264;349;0.0091 s;264;349;0.0090 s;264;349;0.0090 s;264;349;0.0090 s;0.0060 s;0.1688 s;0.0932 s;0.1402 s;0.0460 s
353;431;0.7826 s;353;431;0.0200 s;353;431;0.0150 s;353;431;0.0110 s;353;431;0.0110 s;353;431;0.0100 s;353;431;0.0110 s;0.0030 s;0.2160 s;0.0100 s;0.0230 s;0.0060 s
299;552;1.0334 s;299;552;0.0170 s;299;552;0.0085 s;299;552;0.0070 s;299;552;0.0065 s;299;552;0.0070 s;299;552;0.0055 s;0.0157 s;0.2795 s;0.2765 s;0.6390 s;0.1420 s
402;298;0.5467 s;402;298;0.0165 s;402;298;0.0140 s;402;298;0.0100 s;402;298;0.0110 s;402;298;0.0100 s;402;298;0.0110 s;0.0030 s;0.1438 s;0.0340 s;0.0560 s;0.0170 s
459;448;0.8285 s;459;448;0.0190 s;459;448;0.0120 s;459;448;0.0100 s;459;448;0.0090 s;459;448;0.0100 s;459;448;0.0090 s;0.0070 s;0.2197 s;0.0435 s;0.1821 s;0.0220 s
334;373;0.6726 s;334;373;0.0300 s;334;373;0.0150 s;334;373;0.0110 s;334;373;0.0110 s;334;373;0.0120 s;334;373;0.0110 s;0.0040 s;0.1803 s;0.0050 s;0.0040 s;0.0020 s
311;377;0.6748 s;311;377;0.0242 s;311;377;0.0140 s;311;377;0.0110 s;311;377;0.0110 s;311;377;0.0110 s;311;377;0.0110 s;0.0020 s;0.1820 s;0.0200 s;0.0210 s;0.0100 s
354;282;0.5104 s;354;282;0.0210 s;354;282;0.0130 s;354;282;0.0100 s;354;282;0.0110 s;354;282;0.0097 s;354;282;0.0090 s;0.0040 s;0.1420 s;0.0631 s;0.0874 s;0.0309 s
316;443;0.7995 s;316;443;0.0230 s;316;443;0.0120 s;316;443;0.0107 s;316;443;0.0100 s;316;443;0.0100 s;316;443;0.0100 s;0.0060 s;0.2182 s;0.0246 s;0.1063 s;0.0136 s
177;201;0.3590 s;177;201;0.0150 s;177;201;0.0050 s;177;201;0.0030 s;177;201;0.0040 s;177;201;0.0030 s;177;201;0.0040 s;0.0240 s;0.0965 s;0.4020 s;1.5769 s;0.1898 s
225;387;0.6996 s;225;387;0.0200 s;225;387;0.0100 s;225;388;0.0080 s;225;387;0.0080 s;225;388;0.0080 s;225;387;0.0080 s;0.0040 s;0.1881 s;0.2004 s;0.2205 s;0.1000 s
372;332;0.6131 s;372;332;0.0230 s;372;332;0.0160 s;372;332;0.0120 s;372;332;0.0120 s;372;332;0.0111 s;372;332;0.0120 s;0.0100 s;0.1600 s;0.0040 s;0.0050 s;0.0019 s
477;395;0.7295 s;477;395;0.0235 s;477;395;0.0120 s;477;395;0.0100 s;477;395;0.0090 s;477;395;0.0100 s;477;395;0.0090 s;0.0010 s;0.1926 s;0.0690 s;0.0865 s;0.0349 s
391;290;0.5254 s;391;290;0.0260 s;391;290;0.0136 s;391;290;0.0100 s;391;290;0.0110 s;391;290;0.0110 s;391;290;0.0100 s;0.0436 s;0.1391 s;0.0456 s;0.0620 s;0.0260 s
673;411;0.7816 s;673;411;0.0220 s;673;411;0.0030 s;673;411;0.0020 s;673;411;0.0020 s;673;411;0.0030 s;673;411;0.0020 s;0.0050 s;0.2050 s;0.9127 s;1.2138 s;0.4615 s
379;376;0.6839 s;379;376;0.0192 s;379;376;0.0180 s;379;376;0.0140 s;379;376;0.0130 s;379;376;0.0130 s;379;376;0.0130 s;0.0020 s;0.1805 s;0.0000 s;0.0000 s;0.0000 s
0;0;1.3871 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.5137 s;0.3950 s;1.5611 s;3.5159 s;0.8031 s
361;366;0.6652 s;361;366;0.0180 s;361;366;0.0170 s;362;366;0.0140 s;361;366;0.0130 s;361;366;0.0120 s;361;366;0.0130 s;0.0010 s;0.1775 s;0.0000 s;0.0000 s;0.0000 s
318;401;0.7256 s;318;401;0.0260 s;318;401;0.0149 s;318;401;0.0110 s;318;401;0.0110 s;318;401;0.0106 s;318;401;0.0110 s;0.0040 s;0.2147 s;0.0140 s;0.0276 s;0.0070 s
270;449;0.8026 s;270;449;0.0190 s;270;449;0.0110 s;270;449;0.0090 s;270;449;0.0090 s;270;449;0.0080 s;270;449;0.0080 s;0.0050 s;0.2235 s;0.0810 s;0.2700 s;0.0410 s
320;512;0.9258 s;320;512;0.0200 s;320;512;0.0110 s;320;512;0.0090 s;320;512;0.0080 s;320;512;0.0080 s;320;512;0.0080 s;0.0330 s;0.2560 s;0.1505 s;0.3385 s;0.0800 s
422;486;0.8883 s;422;486;0.0170 s;422;486;0.0110 s;422;486;0.0090 s;422;486;0.0090 s;422;486;0.0090 s;422;486;0.0090 s;0.0030 s;0.2430 s;0.0880 s;0.1880 s;0.0450 s
261;401;0.7439 s;261;401;0.0120 s;261;401;0.0120 s;261;401;0.0081 s;261;401;0.0090 s;261;401;0.0090 s;261;401;0.0090 s;0.0020 s;0.1950 s;0.1011 s;0.1409 s;0.0510 s
318;341;0.6132 s;318;341;0.0150 s;318;341;0.0140 s;318;341;0.0100 s;318;341;0.0110 s;318;341;0.0110 s;318;341;0.0100 s;0.0000 s;0.1640 s;0.0140 s;0.0410 s;0.0070 s
237;376;0.6747 s;237;376;0.0180 s;237;376;0.0110 s;237;376;0.0080 s;237;376;0.0070 s;237;376;0.0080 s;237;376;0.0080 s;0.0200 s;0.1812 s;0.1630 s;0.1720 s;0.0822 s
532;326;0.6093 s;532;326;0.0220 s;532;326;0.0090 s;532;326;0.0070 s;532;326;0.0070 s;532;326;0.0070 s;532;326;0.0080 s;0.0090 s;0.1571 s;0.2070 s;0.3771 s;0.1057 s
379;425;0.7801 s;379;425;0.0210 s;379;425;0.0150 s;379;425;0.0120 s;379;425;0.0120 s;379;425;0.0110 s;379;425;0.0120 s;0.0020 s;0.2091 s;0.0060 s;0.0070 s;0.0030 s
295;454;0.8162 s;295;454;0.0240 s;295;454;0.0110 s;295;454;0.0090 s;295;454;0.0095 s;295;454;0.0090 s;295;454;0.0100 s;0.0130 s;0.2300 s;0.0485 s;0.2191 s;0.0255 s
317;395;0.7106 s;317;395;0.0170 s;317;395;0.0140 s;317;395;0.0110 s;317;395;0.0110 s;317;395;0.0110 s;317;395;0.0110 s;0.0070 s;0.1900 s;0.0150 s;0.0210 s;0.0070 s
216;429;0.7590 s;216;429;0.0160 s;216;429;0.0080 s;216;429;0.0070 s;215;429;0.0070 s;216;429;0.0070 s;215;429;0.0070 s;0.0120 s;0.2103 s;0.2316 s;0.4155 s;0.1170 s
0;0;1.3613 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.4800 s;0.3966 s;1.5735 s;3.5027 s;0.7902 s
0;0;1.3976 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.4701 s;0.3952 s;1.5641 s;3.5216 s;0.8255 s
376;141;0.2573 s;376;141;0.0216 s;376;141;0.0060 s;376;141;0.0041 s;376;141;0.0050 s;376;141;0.0050 s;376;141;0.0040 s;0.0090 s;0.0670 s;0.5598 s;0.6102 s;0.2796 s
298;29;0.0530 s;298;29;0.0100 s;298;29;0.0020 s;298;29;0.0010 s;298;29;0.0010 s;298;29;0.0016 s;298;29;0.0020 s;0.0270 s;0.0130 s;1.3078 s;2.1627 s;0.7536 s
0;0;1.5072 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.8230 s;0.4136 s;1.7084 s;3.9001 s;0.8840 s
327;519;1.0249 s;327;519;0.0180 s;327;519;0.0100 s;327;519;0.0080 s;327;519;0.0090 s;327;519;0.0080 s;327;519;0.0070 s;0.0050 s;0.2776 s;0.1805 s;0.3490 s;0.0900 s
454;420;0.7867 s;454;420;0.0220 s;454;420;0.0140 s;454;420;0.0100 s;454;420;0.0110 s;454;420;0.0110 s;454;420;0.0100 s;0.0010 s;0.2390 s;0.0320 s;0.0940 s;0.0170 s
397;374;0.6889 s;397;374;0.0250 s;397;374;0.0170 s;397;374;0.0130 s;397;374;0.0130 s;397;374;0.0130 s;397;374;0.0120 s;0.0080 s;0.1810 s;0.0000 s;0.0000 s;0.0000 s
594;230;0.4508 s;594;230;0.0140 s;594;230;0.0050 s;594;230;0.0050 s;594;230;0.0040 s;594;230;0.0040 s;594;230;0.0040 s;0.0010 s;0.1190 s;0.4636 s;1.4908 s;0.2340 s
587;437;0.8294 s;587;437;0.0245 s;587;437;0.0070 s;587;437;0.0050 s;587;437;0.0060 s;587;437;0.0050 s;587;437;0.0050 s;0.0130 s;0.2145 s;0.4213 s;0.7559 s;0.2240 s
436;475;0.8758 s;436;475;0.0220 s;436;475;0.0115 s;436;475;0.0110 s;436;475;0.0100 s;436;475;0.0090 s;436;475;0.0090 s;0.0070 s;0.2544 s;0.0670 s;0.1980 s;0.0340 s
437;689;1.2601 s;437;689;0.0171 s;437;689;0.0040 s;437;689;0.0020 s;437;689;0.0020 s;437;689;0.0020 s;437;689;0.0030 s;0.0406 s;0.3845 s;1.0408 s;1.5991 s;0.5213 s
273;273;0.4894 s;273;273;0.0240 s;273;274;0.0110 s;273;274;0.0080 s;273;273;0.0080 s;273;273;0.0080 s;273;273;0.0080 s;0.0230 s;0.1310 s;0.0901 s;0.3889 s;0.0450 s
440;346;0.6411 s;440;346;0.0190 s;440;346;0.0140 s;440;346;0.0110 s;440;346;0.0120 s;440;346;0.0110 s;440;346;0.0110 s;0.0080 s;0.1660 s;0.0160 s;0.0405 s;0.0095 s
488;252;0.4732 s;488;252;0.0200 s;488;252;0.0090 s;488;252;0.0070 s;488;252;0.0070 s;488;252;0.0080 s;488;252;0.0070 s;0.0010 s;0.1225 s;0.1289 s;0.5405 s;0.0670 s
574;391;0.7699 s;574;391;0.0130 s;574;391;0.0080 s;574;391;0.0060 s;574;391;0.0070 s;574;391;0.0070 s;574;391;0.0060 s;0.0390 s;0.1911 s;0.3670 s;0.4169 s;0.1860 s
345;231;0.4210 s;345;231;0.0166 s;345;231;0.0100 s;345;231;0.0071 s;345;231;0.0076 s;345;231;0.0080 s;345;231;0.0080 s;0.0020 s;0.1116 s;0.1815 s;0.2611 s;0.0913 s
342;365;0.6844 s;342;365;0.0200 s;342;365;0.0160 s;342;365;0.0120 s;342;365;0.0130 s;342;365;0.0120 s;342;365;0.0110 s;0.0020 s;0.1760 s;0.0010 s;0.0010 s;0.0010 s
338;412;0.7460 s;338;412;0.0170 s;338;412;0.0150 s;338;412;0.0110 s;338;412;0.0120 s;338;412;0.0110 s;338;412;0.0120 s;0.0010 s;0.2005 s;0.0040 s;0.0180 s;0.0020 s
424;419;0.7728 s;424;419;0.0170 s;424;419;0.0146 s;424;419;0.0110 s;424;419;0.0100 s;424;419;0.0110 s;424;419;0.0105 s;0.0020 s;0.2043 s;0.0089 s;0.0355 s;0.0050 s
240;561;1.0154 s;240;561;0.0261 s;240;561;0.0060 s;240;561;0.0050 s;240;561;0.0050 s;240;561;0.0050 s;240;561;0.0050 s;0.0030 s;0.2829 s;0.3228 s;1.1384 s;0.1590 s
309;451;0.8177 s;309;451;0.0205 s;309;451;0.0120 s;309;451;0.0100 s;309;451;0.0100 s;309;451;0.0090 s;309;451;0.0090 s;0.0020 s;0.2210 s;0.0360 s;0.1520 s;0.0190 s
388;362;0.6642 s;388;362;0.0150 s;388;362;0.0160 s;388;362;0.0130 s;388;362;0.0150 s;388;362;0.0130 s;388;362;0.0140 s;0.0020 s;0.1830 s;0.0000 s;0.0000 s;0.0000 s
339;348;0.6681 s;339;348;0.0200 s;339;348;0.0150 s;339;348;0.0120 s;339;348;0.0110 s;339;348;0.0110 s;339;348;0.0120 s;0.0070 s;0.1670 s;0.0030 s;0.0110 s;0.0010 s
480;418;0.7786 s;480;418;0.0150 s;480;418;0.0120 s;480;418;0.0100 s;480;418;0.0090 s;480;418;0.0100 s;480;418;0.0100 s;0.0010 s;0.2032 s;0.0750 s;0.1550 s;0.0380 s
376;375;0.6868 s;376;375;0.0195 s;376;375;0.0170 s;376;375;0.0130 s;376;375;0.0130 s;376;375;0.0140 s;376;375;0.0130 s;0.0030 s;0.1810 s;0.0000 s;0.0000 s;0.0000 s
62;617;1.1230 s;62;617;0.0180 s;62;617;0.0010 s;62;617;0.0000 s;62;617;0.0000 s;62;617;0.0010 s;62;617;0.0000 s;0.2410 s;0.3169 s;1.0660 s;3.0493 s;0.5323 s
179;362;0.6374 s;179;362;0.0220 s;179;362;0.0080 s;179;362;0.0060 s;179;362;0.0060 s;179;362;0.0060 s;179;362;0.0060 s;0.0050 s;0.1750 s;0.3704 s;0.4443 s;0.1860 s
404;427;0.7819 s;404;427;0.0170 s;404;427;0.0140 s;404;427;0.0115 s;404;427;0.0120 s;404;427;0.0110 s;404;427;0.0110 s;0.0080 s;0.2113 s;0.0070 s;0.0205 s;0.0050 s
399;497;0.9100 s;399;497;0.0270 s;399;497;0.0120 s;399;497;0.0090 s;399;497;0.0090 s;399;497;0.0100 s;399;497;0.0090 s;0.0040 s;0.2460 s;0.1100 s;0.1810 s;0.0570 s
376;377;0.7039 s;376;377;0.0289 s;376;377;0.0178 s;376;377;0.0140 s;376;377;0.0140 s;376;377;0.0130 s;376;377;0.0140 s;0.0044 s;0.1801 s;0.0000 s;0.0000 s;0.0000 s
