;;380.6771 s;;;142.4633 s;;;138.5619 s;;;109.1982 s;;;394.8132 s;;;93.6671 s;133.4111 s;105.2371 s;177.1936 s;390.8702 s;89.6806 s;;;
485;304;0.5611 s;485;304;0.0280 s;485;304;0.0110 s;485;304;0.0080 s;485;304;0.0080 s;485;304;0.0080 s;485;304;0.0090 s;0.0130 s;0.1470 s;0.0860 s;0.2798 s;0.0440 s
430;523;0.9469 s;430;523;0.0210 s;430;523;0.0090 s;430;523;0.0070 s;430;523;0.0080 s;430;523;0.0076 s;430;523;0.0070 s;0.0040 s;0.2662 s;0.1823 s;0.3577 s;0.0931 s
400;371;0.6725 s;400;371;0.0200 s;400;371;0.0160 s;400;371;0.0120 s;400;371;0.0130 s;400;371;0.0130 s;400;371;0.0120 s;0.0010 s;0.1914 s;0.0000 s;0.0000 s;0.0000 s
363;437;0.7992 s;363;437;0.0140 s;363;437;0.0147 s;363;437;0.0110 s;363;437;0.0110 s;363;437;0.0110 s;363;437;0.0110 s;0.0066 s;0.2165 s;0.0160 s;0.0200 s;0.0080 s
425;380;0.6940 s;425;380;0.0250 s;425;380;0.0150 s;425;380;0.0110 s;425;380;0.0110 s;425;380;0.0116 s;425;380;0.0111 s;0.0020 s;0.1853 s;0.0060 s;0.0060 s;0.0030 s
506;406;0.7480 s;506;406;0.0250 s;506;406;0.0110 s;506;406;0.0080 s;506;406;0.0080 s;506;406;0.0090 s;506;406;0.0080 s;0.0080 s;0.2000 s;0.1361 s;0.1951 s;0.0690 s
359;350;0.6293 s;359;350;0.0160 s;359;350;0.0150 s;359;350;0.0130 s;359;350;0.0120 s;359;350;0.0120 s;359;350;0.0120 s;0.0050 s;0.1702 s;0.0000 s;0.0000 s;0.0000 s
662;378;0.7129 s;662;378;0.0140 s;662;378;0.0050 s;662;378;0.0030 s;662;378;0.0031 s;662;378;0.0030 s;662;378;0.0030 s;0.0270 s;0.1881 s;0.8553 s;0.9336 s;0.4316 s
269;373;0.6591 s;269;373;0.0180 s;269;373;0.0120 s;269;373;0.0090 s;268;373;0.0090 s;268;373;0.0090 s;268;373;0.0100 s;0.0010 s;0.1811 s;0.0878 s;0.0900 s;0.0430 s
309;411;0.7312 s;309;411;0.0160 s;309;411;0.0140 s;309;411;0.0100 s;309;411;0.0100 s;309;411;0.0110 s;309;411;0.0100 s;0.0010 s;0.2021 s;0.0225 s;0.0555 s;0.0110 s
334;386;0.6935 s;334;386;0.0200 s;334;386;0.0170 s;334;386;0.0110 s;334;386;0.0110 s;334;386;0.0120 s;334;386;0.0110 s;0.0000 s;0.1961 s;0.0040 s;0.0040 s;0.0020 s
319;375;0.6691 s;319;375;0.0110 s;319;375;0.0140 s;319;375;0.0100 s;319;375;0.0110 s;319;375;0.0120 s;319;375;0.0100 s;0.0100 s;0.1840 s;0.0140 s;0.0120 s;0.0070 s
506;396;0.7309 s;506;396;0.0280 s;506;396;0.0110 s;506;396;0.0080 s;506;396;0.0090 s;506;396;0.0081 s;506;396;0.0090 s;0.0060 s;0.1950 s;0.1345 s;0.1665 s;0.0690 s
409;644;1.1620 s;409;644;0.0190 s;409;644;0.0050 s;409;644;0.0040 s;409;644;0.0040 s;409;644;0.0039 s;409;644;0.0030 s;0.0100 s;0.3352 s;0.7413 s;0.9661 s;0.3740 s
371;378;0.6906 s;371;378;0.0260 s;371;378;0.0200 s;371;378;0.0130 s;371;378;0.0130 s;371;378;0.0130 s;371;378;0.0130 s;0.0040 s;0.1900 s;0.0000 s;0.0000 s;0.0000 s
250;537;0.9564 s;250;537;0.0260 s;250;537;0.0070 s;250;537;0.0060 s;250;537;0.0060 s;250;537;0.0059 s;250;537;0.0050 s;0.0050 s;0.2725 s;0.2278 s;0.8669 s;0.1150 s
480;268;0.4963 s;480;268;0.0241 s;480;268;0.0100 s;480;268;0.0080 s;480;268;0.0073 s;480;268;0.0080 s;480;268;0.0070 s;0.0070 s;0.1300 s;0.0969 s;0.4127 s;0.0490 s
387;369;0.6695 s;387;369;0.0230 s;387;369;0.0170 s;387;369;0.0130 s;387;369;0.0120 s;387;369;0.0130 s;387;369;0.0130 s;0.0030 s;0.1790 s;0.0000 s;0.0000 s;0.0000 s
686;273;0.5172 s;686;273;0.0190 s;686;273;0.0030 s;686;273;0.0030 s;686;273;0.0020 s;686;273;0.0030 s;686;273;0.0020 s;0.0030 s;0.1351 s;1.0223 s;1.9901 s;0.5098 s
358;370;0.6691 s;358;370;0.0120 s;358;370;0.0165 s;358;370;0.0120 s;358;370;0.0120 s;358;370;0.0130 s;358;370;0.0120 s;0.0010 s;0.1796 s;0.0000 s;0.0000 s;0.0000 s
396;232;0.4200 s;396;232;0.0240 s;396;232;0.0100 s;396;232;0.0080 s;396;232;0.0080 s;396;232;0.0070 s;396;232;0.0070 s;0.0080 s;0.1113 s;0.1780 s;0.2168 s;0.0907 s
313;361;0.6611 s;313;361;0.0297 s;313;361;0.0141 s;313;361;0.0120 s;313;361;0.0110 s;313;361;0.0110 s;313;361;0.0100 s;0.0047 s;0.1751 s;0.0170 s;0.0230 s;0.0090 s
0;0;1.3590 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.4350 s;0.3995 s;1.5902 s;3.5215 s;0.7984 s
356;339;0.6139 s;356;339;0.0160 s;356;339;0.0150 s;356;339;0.0120 s;356;339;0.0120 s;356;339;0.0110 s;356;339;0.0110 s;0.0040 s;0.1700 s;0.0020 s;0.0060 s;0.0010 s
427;319;0.5831 s;427;319;0.0210 s;427;319;0.0130 s;427;319;0.0110 s;427;319;0.0100 s;427;319;0.0100 s;427;319;0.0110 s;0.0010 s;0.1550 s;0.0170 s;0.0660 s;0.0090 s
457;356;0.6512 s;457;356;0.0210 s;457;356;0.0126 s;457;356;0.0100 s;457;356;0.0100 s;457;356;0.0100 s;457;356;0.0110 s;0.0040 s;0.1749 s;0.0370 s;0.0540 s;0.0194 s
702;511;0.9471 s;702;511;0.0200 s;702;511;0.0020 s;702;511;0.0010 s;702;511;0.0020 s;702;511;0.0020 s;702;511;0.0020 s;0.0070 s;0.2630 s;1.1510 s;2.3945 s;0.5731 s
385;207;0.3756 s;385;207;0.0150 s;385;207;0.0090 s;385;207;0.0070 s;385;207;0.0070 s;385;207;0.0060 s;385;207;0.0070 s;0.0040 s;0.0990 s;0.2630 s;0.2880 s;0.1325 s
428;398;0.7320 s;428;398;0.0220 s;428;398;0.0150 s;428;398;0.0110 s;428;398;0.0110 s;428;398;0.0110 s;428;398;0.0110 s;0.0130 s;0.1950 s;0.0080 s;0.0170 s;0.0040 s
323;312;0.5584 s;323;312;0.0170 s;323;312;0.0130 s;323;312;0.0100 s;323;312;0.0100 s;323;312;0.0100 s;323;312;0.0100 s;0.0060 s;0.1533 s;0.0220 s;0.0854 s;0.0110 s
338;538;0.9683 s;338;538;0.0220 s;338;538;0.0100 s;338;538;0.0070 s;338;538;0.0070 s;338;538;0.0070 s;338;538;0.0070 s;0.0100 s;0.2729 s;0.2310 s;0.3640 s;0.1170 s
439;296;0.5410 s;439;296;0.0160 s;439;296;0.0120 s;439;296;0.0090 s;439;296;0.0100 s;439;296;0.0090 s;439;296;0.0090 s;0.0110 s;0.1440 s;0.0390 s;0.1493 s;0.0208 s
342;331;0.5949 s;342;331;0.0220 s;342;331;0.0140 s;342;331;0.0110 s;342;331;0.0100 s;342;331;0.0100 s;342;331;0.0110 s;0.0020 s;0.1622 s;0.0070 s;0.0250 s;0.0040 s
667;454;0.8518 s;667;454;0.0160 s;667;454;0.0040 s;667;455;0.0030 s;667;455;0.0030 s;667;455;0.0030 s;667;454;0.0030 s;0.0230 s;0.2299 s;0.8898 s;1.5316 s;0.4468 s
360;398;0.7239 s;360;398;0.0250 s;360;398;0.0160 s;360;398;0.0115 s;360;398;0.0127 s;360;398;0.0115 s;360;398;0.0126 s;0.0010 s;0.1960 s;0.0000 s;0.0000 s;0.0000 s
364;410;0.7369 s;364;410;0.0180 s;364;410;0.0160 s;364;410;0.0120 s;364;410;0.0110 s;364;410;0.0110 s;364;410;0.0110 s;0.0010 s;0.2031 s;0.0010 s;0.0020 s;0.0010 s
396;354;0.6403 s;396;354;0.0160 s;396;354;0.0161 s;396;354;0.0130 s;396;354;0.0115 s;396;354;0.0120 s;396;354;0.0120 s;0.0010 s;0.1717 s;0.0000 s;0.0000 s;0.0000 s
405;189;0.3472 s;405;189;0.0220 s;405;189;0.0080 s;406;189;0.0060 s;405;189;0.0060 s;406;189;0.0060 s;405;189;0.0068 s;0.0010 s;0.0912 s;0.3353 s;0.4401 s;0.1667 s
0;0;1.3620 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.4754 s;0.4014 s;1.5877 s;3.5088 s;0.8031 s
130;315;0.5424 s;130;315;0.0180 s;130;315;0.0060 s;130;315;0.0040 s;130;315;0.0050 s;130;315;0.0040 s;130;315;0.0040 s;0.0060 s;0.1530 s;0.6122 s;1.0414 s;0.3110 s
383;385;0.6954 s;383;385;0.0230 s;383;385;0.0180 s;383;385;0.0130 s;383;385;0.0127 s;383;385;0.0127 s;383;385;0.0136 s;0.0070 s;0.1867 s;0.0000 s;0.0000 s;0.0000 s
497;415;0.7636 s;497;415;0.0210 s;497;415;0.0120 s;497;415;0.0090 s;497;415;0.0080 s;497;415;0.0090 s;497;415;0.0080 s;0.0010 s;0.2060 s;0.1146 s;0.1963 s;0.0580 s
159;317;0.5443 s;159;317;0.0160 s;159;317;0.0060 s;159;317;0.0050 s;159;317;0.0050 s;159;317;0.0050 s;159;317;0.0050 s;0.0150 s;0.1540 s;0.4691 s;0.8022 s;0.2351 s
424;268;0.4911 s;424;268;0.0180 s;424;268;0.0110 s;424;268;0.0090 s;424;268;0.0080 s;424;268;0.0080 s;424;268;0.0090 s;0.0050 s;0.1295 s;0.0877 s;0.1898 s;0.0440 s
488;444;0.8084 s;488;444;0.0230 s;488;444;0.0100 s;488;444;0.0080 s;488;444;0.0080 s;488;444;0.0090 s;488;444;0.0080 s;0.0121 s;0.2198 s;0.0926 s;0.2666 s;0.0470 s
0;0;1.3588 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.4161 s;0.3976 s;1.5693 s;3.5272 s;0.7951 s
556;208;0.3905 s;556;208;0.0200 s;556;208;0.0060 s;556;208;0.0040 s;556;208;0.0050 s;556;208;0.0040 s;556;208;0.0040 s;0.0080 s;0.1000 s;0.3081 s;1.3400 s;0.1585 s
352;402;0.7176 s;352;402;0.0220 s;352;402;0.0160 s;352;402;0.0124 s;352;402;0.0113 s;352;402;0.0120 s;352;402;0.0120 s;0.0050 s;0.1959 s;0.0010 s;0.0020 s;0.0000 s
363;303;0.5430 s;363;303;0.0160 s;363;303;0.0140 s;363;303;0.0110 s;363;303;0.0100 s;363;303;0.0100 s;363;303;0.0096 s;0.0080 s;0.1445 s;0.0290 s;0.0345 s;0.0150 s
287;367;0.6487 s;287;367;0.0140 s;287;367;0.0130 s;287;367;0.0100 s;287;367;0.0100 s;287;367;0.0100 s;287;367;0.0100 s;0.0010 s;0.1770 s;0.0530 s;0.0560 s;0.0270 s
403;326;0.5881 s;403;326;0.0115 s;403;326;0.0150 s;403;327;0.0116 s;403;326;0.0110 s;403;326;0.0120 s;403;326;0.0117 s;0.0064 s;0.1572 s;0.0070 s;0.0190 s;0.0030 s
299;440;0.7957 s;299;440;0.0260 s;299;440;0.0130 s;299;440;0.0090 s;298;440;0.0090 s;298;440;0.0100 s;298;440;0.0090 s;0.0120 s;0.2170 s;0.0380 s;0.1458 s;0.0190 s
408;484;0.8698 s;408;484;0.0260 s;408;484;0.0110 s;408;484;0.0090 s;408;484;0.0090 s;408;484;0.0090 s;408;484;0.0090 s;0.0030 s;0.2426 s;0.0815 s;0.1360 s;0.0420 s
291;435;0.7850 s;291;435;0.0185 s;291;435;0.0118 s;291;436;0.0100 s;291;435;0.0090 s;291;436;0.0090 s;291;435;0.0090 s;0.0070 s;0.2147 s;0.0450 s;0.1530 s;0.0230 s
605;551;1.0084 s;605;551;0.0170 s;605;551;0.0040 s;605;551;0.0030 s;605;551;0.0040 s;605;551;0.0030 s;605;551;0.0030 s;0.0340 s;0.2805 s;0.5177 s;1.8564 s;0.2612 s
690;404;0.7553 s;690;404;0.0200 s;690;404;0.0030 s;690;404;0.0020 s;690;404;0.0030 s;690;404;0.0020 s;690;404;0.0030 s;0.0210 s;0.2015 s;1.0523 s;1.3285 s;0.5291 s
401;410;0.7487 s;401;410;0.0200 s;401;410;0.0160 s;401;410;0.0110 s;401;410;0.0120 s;401;410;0.0120 s;401;410;0.0110 s;0.0010 s;0.2026 s;0.0020 s;0.0050 s;0.0000 s
403;498;0.8989 s;403;498;0.0136 s;403;498;0.0110 s;403;498;0.0090 s;403;498;0.0080 s;403;498;0.0090 s;403;498;0.0086 s;0.0140 s;0.2500 s;0.1120 s;0.1622 s;0.0580 s
338;326;0.5897 s;338;326;0.0210 s;338;326;0.0135 s;338;326;0.0110 s;338;326;0.0110 s;338;326;0.0110 s;338;326;0.0110 s;0.0080 s;0.1585 s;0.0100 s;0.0360 s;0.0050 s
297;620;1.1180 s;297;620;0.0260 s;297;620;0.0050 s;297;620;0.0040 s;297;620;0.0040 s;297;620;0.0040 s;297;620;0.0040 s;0.0010 s;0.3226 s;0.5993 s;1.1470 s;0.3030 s
503;28;0.0540 s;503;28;0.0090 s;503;28;0.0010 s;503;28;0.0010 s;503;28;0.0010 s;503;28;0.0010 s;503;28;0.0010 s;0.1550 s;0.0120 s;1.3552 s;2.5498 s;0.6788 s
484;678;1.2454 s;484;678;0.0180 s;484;678;0.0030 s;484;678;0.0020 s;484;678;0.0020 s;484;678;0.0030 s;484;678;0.0020 s;0.0040 s;0.3481 s;0.9512 s;1.9147 s;0.4795 s
376;337;0.6112 s;376;337;0.0180 s;376;337;0.0160 s;376;337;0.0120 s;376;337;0.0120 s;376;337;0.0120 s;376;337;0.0110 s;0.0070 s;0.1670 s;0.0020 s;0.0020 s;0.0010 s
260;293;0.5152 s;260;293;0.0261 s;260;294;0.0110 s;260;294;0.0080 s;260;294;0.0080 s;260;293;0.0080 s;260;293;0.0080 s;0.0070 s;0.1400 s;0.1060 s;0.3572 s;0.0536 s
344;384;0.6861 s;344;384;0.0181 s;344;384;0.0159 s;344;384;0.0120 s;343;384;0.0120 s;343;384;0.0120 s;343;384;0.0120 s;0.0010 s;0.1850 s;0.0000 s;0.0010 s;0.0000 s
658;319;0.6000 s;658;319;0.0220 s;658;319;0.0040 s;658;319;0.0030 s;658;319;0.0040 s;658;319;0.0030 s;658;319;0.0030 s;0.0100 s;0.1580 s;0.8258 s;1.3307 s;0.4310 s
365;368;0.6900 s;365;368;0.0210 s;365;368;0.0160 s;365;368;0.0130 s;365;368;0.0125 s;365;368;0.0130 s;365;368;0.0130 s;0.0060 s;0.1852 s;0.0000 s;0.0000 s;0.0000 s
300;532;0.9698 s;300;532;0.0210 s;300;532;0.0100 s;300;532;0.0070 s;300;532;0.0070 s;300;532;0.0080 s;300;532;0.0080 s;0.0190 s;0.2780 s;0.2130 s;0.5374 s;0.1050 s
256;446;0.8010 s;256;446;0.0280 s;256;446;0.0100 s;256;446;0.0090 s;256;446;0.0080 s;256;446;0.0080 s;256;446;0.0080 s;0.0170 s;0.2272 s;0.1155 s;0.3311 s;0.0570 s
327;272;0.5019 s;327;272;0.0225 s;327;272;0.0120 s;327;272;0.0140 s;327;272;0.0120 s;327;272;0.0110 s;327;272;0.0100 s;0.0040 s;0.1575 s;0.0900 s;0.2280 s;0.0520 s
597;633;1.2861 s;597;633;0.0210 s;597;633;0.0020 s;597;633;0.0020 s;597;633;0.0020 s;597;633;0.0010 s;597;633;0.0020 s;0.0802 s;0.3371 s;0.7220 s;2.8986 s;0.3520 s
372;382;0.7021 s;372;382;0.0130 s;372;382;0.0170 s;372;382;0.0130 s;372;382;0.0130 s;372;382;0.0131 s;372;382;0.0130 s;0.0000 s;0.1900 s;0.0000 s;0.0000 s;0.0000 s
411;380;0.7029 s;411;380;0.0257 s;411;380;0.0160 s;411;380;0.0130 s;411;380;0.0120 s;411;380;0.0120 s;411;380;0.0120 s;0.0146 s;0.1858 s;0.0000 s;0.0010 s;0.0000 s
432;404;0.7540 s;432;404;0.0240 s;432;404;0.0150 s;432;404;0.0110 s;432;404;0.0110 s;432;404;0.0120 s;432;404;0.0130 s;0.0010 s;0.2028 s;0.0110 s;0.0270 s;0.0070 s
86;540;0.9901 s;86;540;0.0160 s;86;540;0.0030 s;86;540;0.0020 s;86;540;0.0020 s;86;540;0.0020 s;86;540;0.0020 s;0.0320 s;0.2852 s;0.9234 s;2.5189 s;0.4484 s
0;0;1.3896 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.5731 s;0.4140 s;1.6360 s;3.5604 s;0.7957 s
462;366;0.6687 s;462;366;0.0165 s;462;366;0.0130 s;462;366;0.0100 s;462;366;0.0100 s;462;366;0.0100 s;462;366;0.0100 s;0.0060 s;0.1770 s;0.0440 s;0.0480 s;0.0220 s
353;341;0.6113 s;353;341;0.0230 s;353;341;0.0155 s;353;341;0.0120 s;353;341;0.0110 s;353;341;0.0110 s;353;341;0.0110 s;0.0010 s;0.1650 s;0.0020 s;0.0063 s;0.0010 s
474;342;0.6272 s;474;342;0.0260 s;474;342;0.0120 s;474;342;0.0090 s;474;342;0.0090 s;474;342;0.0090 s;474;342;0.0090 s;0.0080 s;0.1650 s;0.0640 s;0.1200 s;0.0330 s
233;344;0.6060 s;233;344;0.0210 s;233;344;0.0100 s;233;344;0.0080 s;233;344;0.0080 s;233;344;0.0070 s;233;344;0.0080 s;0.0020 s;0.1660 s;0.1756 s;0.2605 s;0.0883 s
439;471;0.8580 s;439;471;0.0150 s;439;471;0.0120 s;439;471;0.0090 s;439;471;0.0090 s;439;471;0.0085 s;439;471;0.0090 s;0.0070 s;0.2361 s;0.0590 s;0.1937 s;0.0310 s
0;0;1.3481 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.4369 s;0.3998 s;1.5717 s;3.4867 s;0.7926 s
241;615;1.0924 s;241;615;0.0240 s;241;615;0.0050 s;241;615;0.0040 s;241;615;0.0030 s;241;615;0.0040 s;241;615;0.0031 s;0.0380 s;0.3148 s;0.5817 s;1.5962 s;0.2876 s
534;391;0.7227 s;534;391;0.0140 s;534;391;0.0090 s;534;391;0.0080 s;534;391;0.0070 s;534;391;0.0080 s;534;391;0.0070 s;0.0220 s;0.1920 s;0.2180 s;0.2492 s;0.1100 s
371;392;0.7037 s;371;392;0.0260 s;371;392;0.0160 s;371;392;0.0132 s;371;392;0.0120 s;371;392;0.0130 s;371;392;0.0115 s;0.0000 s;0.1912 s;0.0000 s;0.0000 s;0.0000 s
381;178;0.3190 s;381;178;0.0220 s;381;178;0.0080 s;381;178;0.0060 s;381;178;0.0060 s;381;178;0.0060 s;381;178;0.0060 s;0.0200 s;0.0850 s;0.3786 s;0.4061 s;0.1897 s
459;523;0.9434 s;459;523;0.0176 s;459;523;0.0090 s;459;523;0.0070 s;459;523;0.0070 s;459;523;0.0080 s;459;523;0.0070 s;0.0020 s;0.2658 s;0.1830 s;0.4978 s;0.0920 s
488;212;0.3910 s;488;212;0.0250 s;488;213;0.0080 s;488;213;0.0060 s;488;212;0.0060 s;488;212;0.0070 s;488;212;0.0060 s;0.0050 s;0.1020 s;0.2420 s;0.7941 s;0.1230 s
240;410;0.7200 s;240;410;0.0130 s;240;410;0.0100 s;240;410;0.0080 s;240;410;0.0070 s;240;410;0.0080 s;240;410;0.0080 s;0.0040 s;0.2013 s;0.1534 s;0.2380 s;0.0775 s
534;751;1.3408 s;535;750;0.0180 s;534;751;0.0010 s;534;751;0.0010 s;534;751;0.0000 s;534;751;0.0000 s;534;751;0.0000 s;0.2434 s;0.3911 s;1.5564 s;2.8926 s;0.7929 s
331;250;0.4431 s;331;250;0.0250 s;331;250;0.0110 s;331;250;0.0080 s;331;250;0.0080 s;331;250;0.0080 s;331;250;0.0080 s;0.0080 s;0.1206 s;0.1287 s;0.2495 s;0.0640 s
388;453;0.8175 s;388;453;0.0230 s;388;453;0.0140 s;388;453;0.0110 s;388;453;0.0110 s;388;453;0.0100 s;388;453;0.0100 s;0.0010 s;0.2244 s;0.0320 s;0.0370 s;0.0170 s
588;621;1.1356 s;588;621;0.0210 s;588;621;0.0020 s;588;621;0.0020 s;588;621;0.0020 s;588;621;0.0020 s;588;621;0.0020 s;0.0620 s;0.3200 s;0.6010 s;2.3686 s;0.3130 s
267;297;0.5213 s;267;297;0.0146 s;267;297;0.0110 s;267;297;0.0090 s;267;297;0.0090 s;267;297;0.0080 s;267;297;0.0090 s;0.0100 s;0.1420 s;0.0890 s;0.3091 s;0.0448 s
476;236;0.4329 s;476;236;0.0170 s;476;236;0.0092 s;476;236;0.0060 s;476;236;0.0060 s;476;236;0.0070 s;476;236;0.0070 s;0.0150 s;0.1140 s;0.1658 s;0.5609 s;0.0830 s
392;446;0.8010 s;392;446;0.0180 s;392;446;0.0130 s;392;446;0.0110 s;392;446;0.0110 s;392;446;0.0100 s;392;446;0.0105 s;0.0060 s;0.2210 s;0.0220 s;0.0295 s;0.0120 s
308;18;0.0320 s;308;18;0.0060 s;308;18;0.0010 s;308;18;0.0010 s;308;18;0.0020 s;308;18;0.0010 s;308;18;0.0015 s;0.0300 s;0.0070 s;1.4025 s;2.1248 s;0.7005 s
648;88;0.1687 s;648;88;0.0190 s;648;88;0.0010 s;648;88;0.0000 s;0;0;0.0000 s;648;88;0.0010 s;648;88;0.0000 s;0.0616 s;0.0430 s;0.8817 s;3.0412 s;0.4458 s
0;0;1.3443 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.4446 s;0.3990 s;1.5814 s;3.5119 s;0.7998 s
362;443;0.7974 s;362;443;0.0300 s;362;443;0.0150 s;362;443;0.0110 s;362;443;0.0110 s;362;443;0.0110 s;362;443;0.0100 s;0.0010 s;0.2215 s;0.0200 s;0.0275 s;0.0110 s
304;388;0.6884 s;304;388;0.0146 s;304;388;0.0130 s;304;388;0.0100 s;304;388;0.0110 s;304;388;0.0110 s;304;388;0.0110 s;0.0030 s;0.1881 s;0.0280 s;0.0300 s;0.0130 s
